城市	抓取数量	domain	
昆山	394	ks	
中山	408	zhongshan	
保定	410	baoding	
惠州	424	huizhou	
桂林	428	guilin	
泉州	441	quanzhou	
烟台	448	yt	
南通	468	nt	
徐州	478	xz	
呼和浩特	501	hhht	
常州	530	cz	
南昌	571	nc	
苏州	587	suzhou	
唐山	618	tangshan	
台州	678	taizhou	
云南	691	yn	
哈尔滨	698	h	
济南	737	sd	
海南	883	han	
西安	887	sx	
宁波	905	nb	
石家庄	1025	sjz	
东莞	1147	dg	
大连	1264	dl	
长沙	1269	cs	
合肥	1289	hf	
郑州	1289	hn	
青岛	1445	qd	
沈阳	1723	sy	
武汉	1982	wh	
深圳	2259	sz	
天津	2315	tj	严重丢失
四川	2519	sc	
重庆	2945	cq	
广州	3268	gz	
北京	4955	bj	
上海	8953	sh	
			
			
			
			
			
			
			
			
			
			
			
			
	62852		
